"Approval Date","Drug Name","Submission","Active Ingredients","Company","Submission Classification *","Submission Status"
"07/02/2018","LEVAQUINNDA   #020634","SUPPL-69","LEVOFLOXACIN","JANSSEN PHARMS","Labeling","Approval"
"07/02/2018","PENICILLIN G PROCAINEANDA  #060101","SUPPL-31","PENICILLIN G PROCAINE","KING PHARMS LLC","Labeling","Approval"
"07/02/2018","PENICILLIN G PROCAINEANDA  #060101","SUPPL-35","PENICILLIN G PROCAINE","KING PHARMS LLC","Labeling","Approval"
"07/02/2018","PENICILLIN G PROCAINEANDA  #060101","SUPPL-38","PENICILLIN G PROCAINE","KING PHARMS LLC","Labeling","Approval"
"07/02/2018","EMTRICITABINEANDA  #091168","ORIG-1","EMTRICITABINE","CIPLA","","Approval"
"07/02/2018","CHOLESTYRAMINEANDA  #202901","ORIG-1","CHOLESTYRAMINE","ZYDUS PHARMS","","Approval"
"07/02/2018","OXYCODONE AND ACETAMINOPHENANDA  #203864","ORIG-1","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","EPIC PHARMA LLC","","Approval"
"07/02/2018","DESOXIMETASONEANDA  #205594","ORIG-1","DESOXIMETASONE","RISING","","Approval"
"07/02/2018","CASPOFUNGIN ACETATEANDA  #205923","ORIG-1","CASPOFUNGIN ACETATE","XELLIA PHARMS APS","","Approval"
"07/02/2018","PROPAFENONE HYDROCHLORIDEANDA  #205956","ORIG-1","PROPAFENONE HYDROCHLORIDE","RISING","","Approval"
"07/02/2018","ILOPERIDONEANDA  #207409","ORIG-1","ILOPERIDONE","ALEMBIC PHARMS LTD","","Tentative Approval"
"07/02/2018","AZACITIDINEANDA  #207475","ORIG-1","AZACITIDINE","ACCORD HLTHCARE","","Approval"
"07/02/2018","TICAGRELORANDA  #208576","ORIG-1","TICAGRELOR","ALEMBIC PHARMS LTD","","Tentative Approval"
"07/02/2018","MONTELUKAST SODIUMANDA  #208621","ORIG-1","MONTELUKAST SODIUM","UNICHEM","","Approval"
"07/02/2018","CAPECITABINEANDA  #209365","ORIG-1","CAPECITABINE","MSN","","Approval"
"07/02/2018","OXYCODONE AND ACETAMINOPHENANDA  #209385","ORIG-1","ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE","NOSTRUM LABS INC","","Approval"
"07/02/2018","NICOTINE POLACRILEXANDA  #209519","ORIG-1","NICOTINE POLACRILEX","P AND L","","Approval"
"07/02/2018","DOCETAXELANDA  #210072","ORIG-1","DOCETAXEL","MYLAN LABS LTD","","Approval"
"07/02/2018","DICYCLOMINE HYDROCHLORIDEANDA  #210979","ORIG-1","DICYCLOMINE HYDROCHLORIDE","FOSUN PHARMA","","Approval"
"07/02/2018","TECENTRIQBLA   #761034","SUPPL-12","ATEZOLIZUMAB","GENENTECH INC","","Approval"
"07/03/2018","PHOSPHOLINE IODIDENDA   #011963","SUPPL-48","ECHOTHIOPHATE IODIDE","FERA PHARMS LLC","Labeling","Approval"
"07/03/2018","ARRANONNDA   #021877","SUPPL-8","NELARABINE","NOVARTIS","Labeling","Approval"
"07/03/2018","ARGATROBAN IN SODIUM CHLORIDENDA   #022485","SUPPL-11","ARGATROBAN","SANDOZ","Labeling","Approval"
"07/03/2018","XeominBLA   #125360","SUPPL-73","incobotulinumtoxinA","MERZ PHARMS","","Approval"
"07/03/2018","LEVONORGESTRELANDA  #204044","ORIG-1","LEVONORGESTREL","LABORATOIRE HRA","","Approval"
"07/03/2018","BUDESONIDEANDA  #205457","ORIG-1","BUDESONIDE","ACTAVIS LABS FL INC","","Approval"
"07/03/2018","OLANZAPINEANDA  #208146","ORIG-1","OLANZAPINE","HEC PHARM","","Approval"
"07/03/2018","VEMLIDYNDA   #208464","SUPPL-4","TENOFOVIR ALAFENAMIDE FUMARATE","GILEAD SCIENCES INC","Efficacy","Approval"
"07/03/2018","HALOPERIDOL DECANOATEANDA  #209101","ORIG-1","HALOPERIDOL DECANOATE","SOMERSET THERAPS LLC","","Approval"
"07/05/2018","ROBINULNDA   #017558","SUPPL-62","GLYCOPYRROLATE","HIKMA","Labeling","Approval"
"07/05/2018","CLARITINNDA   #019658","SUPPL-53","LORATADINE","BAYER HEALTHCARE LLC","Labeling","Approval"
"07/05/2018","CLARITIN HIVES RELIEFNDA   #019658","SUPPL-53","LORATADINE","BAYER HEALTHCARE LLC","Labeling","Approval"
"07/05/2018","FASLODEXNDA   #021344","SUPPL-36","FULVESTRANT","ASTRAZENECA","Efficacy","Approval"
"07/05/2018","TEMOZOLOMIDEANDA  #204159","ORIG-1","TEMOZOLOMIDE","APOTEX","","Approval"
"07/05/2018","HOMATROPINE METHYLBROMIDE AND HYDROCODONE BITARTRATEANDA  #207176","SUPPL-1","HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE","AVANTHI INC","Labeling","Approval"
"07/05/2018","AZITHROMYCINANDA  #207370","ORIG-1","AZITHROMYCIN","AUROBINDO PHARMA LTD","","Approval"
"07/05/2018","AZITHROMYCINANDA  #207398","ORIG-1","AZITHROMYCIN","AUROBINDO PHARMA LTD","","Approval"
"07/05/2018","HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDEANDA  #207487","SUPPL-1","HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE","ABHAI LLC","Labeling","Approval"
"07/05/2018","PHENYLEPHRINE HYDROCHLORIDEANDA  #211079","ORIG-1","PHENYLEPHRINE HYDROCHLORIDE","AMNEAL","","Approval"
"07/06/2018","GLUCAGENNDA   #020918","SUPPL-52","GLUCAGON HYDROCHLORIDE","NOVO NORDISK","Labeling","Approval"
"07/06/2018","GLUCAGONNDA   #020928","SUPPL-56","GLUCAGON","LILLY","Labeling","Approval"
"07/06/2018","ADEFOVIR DIPIVOXILANDA  #205459","ORIG-1","ADEFOVIR DIPIVOXIL","APOTEX","","Approval"
"07/06/2018","EPINEPHRINEANDA  #207568","ORIG-1","EPINEPHRINE","AM REGENT","","Approval"
"07/06/2018","DEXAMETHASONE SODIUM PHOSPHATEANDA  #209192","ORIG-1","DEXAMETHASONE SODIUM PHOSPHATE","FRESENIUS KABI USA","","Approval"
"07/06/2018","DOLUTEGRAVIR SODIUMANDA  #209602","ORIG-1","DOLUTEGRAVIR SODIUM","MYLAN LABS LTD","","Tentative Approval"
"07/06/2018","VABOMERENDA   #209776","SUPPL-1","MEROPENEM; VABORBACTAM","REMPEX","Labeling","Approval"
"07/06/2018","HYDROXYCHLOROQUINE SULFATEANDA  #210543","ORIG-1","HYDROXYCHLOROQUINE SULFATE","LUPIN LTD","","Approval"
"07/06/2018","DOCETAXELANDA  #210848","ORIG-1","DOCETAXEL","MYLAN LABS LTD","","Approval"
"07/09/2018","NITROFURANTOINANDA  #203233","ORIG-1","NITROFURANTOIN, MACROCRYSTALLINE","NOVEL LABS INC","","Approval"
"07/09/2018","TOBRAMYCINANDA  #207080","ORIG-1","TOBRAMYCIN","DR REDDYS LABS SA","","Approval"
"07/09/2018","ALPRAZOLAMANDA  #207507","ORIG-1","ALPRAZOLAM","BRECKENRIDGE","","Approval"
"07/09/2018","CLARITHROMYCINANDA  #208987","ORIG-1","CLARITHROMYCIN","SUNSHINE","","Approval"
"07/09/2018","HYDRALAZINE HYDROCHLORIDEANDA  #209251","ORIG-1","HYDRALAZINE HYDROCHLORIDE","UPSHER SMITH LABS","","Approval"
"07/09/2018","ATROPINE (AUTOINJECTOR)NDA   #212319","ORIG-1","ATROPINE","RAFA LABS LTD","Type 5 - New Formulation or New Manufacturer","Approval"
"07/10/2018","CIMDUONDA   #022141","SUPPL-24","LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE","MYLAN LABS LTD","","Approval"
"07/10/2018","CARBIDOPA AND LEVODOPAANDA  #078536","SUPPL-15","CARBIDOPA; LEVODOPA","SUN PHARM INDS","Manufacturing (CMC)","Approval"
"07/10/2018","YERVOYBLA   #125377","SUPPL-96","IPILIMUMAB","BRISTOL MYERS SQUIBB","","Approval"
"07/10/2018","OPDIVOBLA   #125554","SUPPL-63","NIVOLUMAB","BRISTOL MYERS SQUIBB","","Approval"
"07/10/2018","NEURACEQNDA   #204677","SUPPL-15","FLORBETABEN F-18","LIFE MOLECULAR","Manufacturing (CMC)","Approval"
"07/10/2018","SAXAGLIPTINANDA  #206020","ORIG-1","SAXAGLIPTIN","TEVA PHARMS USA","","Tentative Approval"
"07/10/2018","NEOSTIGMINE METHYLSULFATEANDA  #209135","ORIG-1","NEOSTIGMINE METHYLSULFATE","DR REDDYS","","Approval"
"07/10/2018","LACOSAMIDEANDA  #209224","ORIG-1","LACOSAMIDE","AUROBINDO PHARMA LTD","","Tentative Approval"
"07/10/2018","VANCOMYCIN HYDROCHLORIDENDA   #209481","ORIG-1","VANCOMYCIN HYDROCHLORIDE","MYLAN LABS LTD","Type 5 - New Formulation or New Manufacturer","Approval"
"07/11/2018","PLASMA-LYTE 56 AND DEXTROSE 5% IN PLASTIC CONTAINERNDA   #017385","SUPPL-64","DEXTROSE; MAGNESIUM ACETATE TETRAHYDRATE; POTASSIUM ACETATE; SODIUM CHLORIDE","BAXTER HLTHCARE","","Approval"
"07/11/2018","DEXTROSE 5% AND ELECTROLYTE NO. 48 IN PLASTIC CONTAINERNDA   #017484","SUPPL-74","DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC; SODIUM CHLORIDE; SODIUM LACTATE","BAXTER HLTHCARE","","Approval"
"07/11/2018","DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 10MEQ IN PLASTIC CONTAINERNDA   #018629","SUPPL-48","DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE","BAXTER HLTHCARE","","Approval"
"07/11/2018","DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 15MEQ IN PLASTIC CONTAINERNDA   #018629","SUPPL-48","DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE","BAXTER HLTHCARE","","Approval"
"07/11/2018","DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 20MEQ IN PLASTIC CONTAINERNDA   #018629","SUPPL-48","DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE","BAXTER HLTHCARE","","Approval"
"07/11/2018","DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 30MEQ IN PLASTIC CONTAINERNDA   #018629","SUPPL-48","DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE","BAXTER HLTHCARE","","Approval"
"07/11/2018","DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 40MEQ IN PLASTIC CONTAINERNDA   #018629","SUPPL-48","DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE","BAXTER HLTHCARE","","Approval"
"07/11/2018","DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 5MEQ IN PLASTIC CONTAINERNDA   #018629","SUPPL-48","DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE","BAXTER HLTHCARE","","Approval"
"07/11/2018","MEMANTINE HYDROCHLORIDEANDA  #090244","ORIG-1","MEMANTINE HYDROCHLORIDE","CHARTWELL","","Approval"
"07/11/2018","NAFCILLIN SODIUMANDA  #091613","SUPPL-4","NAFCILLIN SODIUM","EUGIA PHARMA SPECLTS","Manufacturing (CMC)","Approval"
"07/11/2018","ZOLMITRIPTANANDA  #203019","ORIG-1","ZOLMITRIPTAN","ZYDUS PHARMS","","Approval"
"07/11/2018","DALFAMPRIDINEANDA  #206863","ORIG-1","DALFAMPRIDINE","ACCORD HLTHCARE","","Approval"
"07/11/2018","DIHYDROERGOTAMINE MESYLATEANDA  #207264","ORIG-1","DIHYDROERGOTAMINE MESYLATE","SAGENT PHARMS INC","","Approval"
"07/11/2018","GUAIFENESINANDA  #207342","ORIG-1","GUAIFENESIN","AMNEAL PHARMS","","Approval"
"07/11/2018","GLYRX-PFNDA   #210997","ORIG-1","GLYCOPYRROLATE","EXELA PHARMA","Type 5 - New Formulation or New Manufacturer","Approval"
"07/11/2018","GLYRX-PFNDA   #210997","ORIG-2","GLYCOPYRROLATE","EXELA PHARMA","Efficacy","Approval"
"07/12/2018","ROCEPHINNDA   #050585","SUPPL-68","CEFTRIAXONE SODIUM","HOFFMANN LA ROCHE","Labeling","Approval"
"07/12/2018","ROCEPHIN KITNDA   #050585","SUPPL-68","CEFTRIAXONE SODIUM; LIDOCAINE","HOFFMANN LA ROCHE","Labeling","Approval"
"07/12/2018","LEVETIRACETAM IN SODIUM CHLORIDENDA   #202543","SUPPL-11","LEVETIRACETAM","HQ SPCLT PHARMA","Labeling","Approval"
"07/12/2018","BELSOMRANDA   #204569","SUPPL-5","SUVOREXANT","MERCK SHARP DOHME","Labeling","Approval"
"07/12/2018","BORTEZOMIBNDA   #205004","SUPPL-2","BORTEZOMIB","FRESENIUS KABI USA","Labeling","Approval"
"07/12/2018","OMEPRAZOLENDA   #209400","SUPPL-3","OMEPRAZOLE","DEXCEL","Labeling","Approval"
"07/12/2018","CASPOFUNGIN ACETATEANDA  #209489","ORIG-1","CASPOFUNGIN ACETATE","CIPLA","","Approval"
"07/13/2018","DETROL LANDA   #021228","SUPPL-23","TOLTERODINE TARTRATE","UPJOHN","Labeling","Approval"
"07/13/2018","OXYTOCINANDA  #091676","ORIG-1","OXYTOCIN","SAGENT PHARMS INC","","Approval"
"07/13/2018","KRYSTEXXABLA   #125293","SUPPL-92","PEGLOTICASE","HORIZON PHARMA","","Approval"
"07/13/2018","XTANDINDA   #203415","SUPPL-14","ENZALUTAMIDE","ASTELLAS","Efficacy","Approval"
"07/13/2018","BUSULFANANDA  #205184","ORIG-1","BUSULFAN","MYLAN LABS LTD","","Approval"
"07/13/2018","IMATINIB MESYLATEANDA  #207586","ORIG-1","IMATINIB MESYLATE","HIKMA","","Approval"
"07/13/2018","MOMETASONE FUROATEANDA  #207899","ORIG-1","MOMETASONE FUROATE","TORRENT","","Approval"
"07/13/2018","ROFLUMILASTANDA  #208257","ORIG-1","ROFLUMILAST","MYLAN PHARMS","","Approval"
"07/13/2018","TPOXXNDA   #208627","ORIG-1","TECOVIRIMAT","SIGA TECHNOLOGIES","Type 1 - New Molecular Entity","Approval"
"07/13/2018","NIPRIDE RTU IN SODIUM CHLORIDE 0.9%NDA   #209387","SUPPL-4","SODIUM NITROPRUSSIDE","EXELA PHARMA","Manufacturing (CMC)","Approval"
"07/13/2018","VERAPAMIL HYDROCHLORIDEANDA  #210994","ORIG-1","VERAPAMIL HYDROCHLORIDE","AMNEAL","","Approval"
"07/16/2018","TIMOPTIC-XENDA   #020330","SUPPL-32","TIMOLOL MALEATE","BAUSCH AND LOMB INC","Labeling","Approval"
"07/16/2018","ADDERALL XR 10NDA   #021303","SUPPL-29","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE","TAKEDA PHARMS USA","Labeling","Approval"
"07/16/2018","ADDERALL XR 15NDA   #021303","SUPPL-29","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE","TAKEDA PHARMS USA","Labeling","Approval"
"07/16/2018","ADDERALL XR 20NDA   #021303","SUPPL-29","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE","TAKEDA PHARMS USA","Labeling","Approval"
