"Approval Date","Drug Name","Submission","Active Ingredients","Company","Submission Classification *","Submission Status"
"05/01/2019","DIPROLENENDA   #018741","SUPPL-40","BETAMETHASONE DIPROPIONATE","ORGANON","Labeling","Approval"
"05/01/2019","DIPROLENE AFNDA   #019555","SUPPL-35","BETAMETHASONE DIPROPIONATE","ORGANON","Labeling","Approval"
"05/01/2019","DIPROLENENDA   #019716","SUPPL-33","BETAMETHASONE DIPROPIONATE","ORGANON","Labeling","Approval"
"05/01/2019","NORMOCARB HF 25NDA   #021910","SUPPL-8","MAGNESIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE","DIALYSIS SUPS","Labeling","Approval"
"05/01/2019","NORMOCARB HF 35NDA   #021910","SUPPL-8","MAGNESIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE","DIALYSIS SUPS","Labeling","Approval"
"05/01/2019","GEMCITABINE HYDROCHLORIDEANDA  #079160","SUPPL-9","GEMCITABINE HYDROCHLORIDE","ACTAVIS TOTOWA","Labeling","Approval"
"05/01/2019","GEMCITABINE HYDROCHLORIDEANDA  #079160","SUPPL-10","GEMCITABINE HYDROCHLORIDE","ACTAVIS TOTOWA","Labeling","Approval"
"05/01/2019","LAMIVUDINEANDA  #090198","ORIG-1","LAMIVUDINE","MACLEODS PHARMS LTD","","Approval"
"05/01/2019","GEMCITABINE HYDROCHLORIDEANDA  #091365","SUPPL-7","GEMCITABINE HYDROCHLORIDE","DR REDDYS LABS LTD","Labeling","Approval"
"05/01/2019","BLISOVI 24 FEANDA  #091398","SUPPL-1","ETHINYL ESTRADIOL; NORETHINDRONE ACETATE","LUPIN LTD","Labeling","Approval"
"05/01/2019","BLISOVI 24 FEANDA  #091398","SUPPL-5","ETHINYL ESTRADIOL; NORETHINDRONE ACETATE","LUPIN LTD","Labeling","Approval"
"05/01/2019","BLISOVI 24 FEANDA  #091398","SUPPL-9","ETHINYL ESTRADIOL; NORETHINDRONE ACETATE","LUPIN LTD","Manufacturing (CMC)","Approval"
"05/01/2019","XOLAIRBLA   #103976","SUPPL-5234","OMALIZUMAB","GENENTECH","","Approval"
"05/01/2019","NADOLOLANDA  #201893","SUPPL-1","NADOLOL","AUROBINDO PHARMA","Manufacturing (CMC)","Approval"
"05/01/2019","DACTINOMYCINANDA  #203385","SUPPL-1","DACTINOMYCIN","EUGIA PHARMA","Labeling","Approval"
"05/01/2019","POTASSIUM CHLORIDENDA   #206814","SUPPL-8","POTASSIUM CHLORIDE","GENUS LIFESCIENCES","Manufacturing (CMC)","Approval"
"05/01/2019","DAPTOMYCINANDA  #208375","ORIG-1","DAPTOMYCIN","DR REDDYS","","Approval"
"05/01/2019","MEDROXYPROGESTERONE ACETATEANDA  #210760","ORIG-1","MEDROXYPROGESTERONE ACETATE","SUN PHARM","","Approval"
"05/01/2019","CALCIUM CHLORIDE 10%ANDA  #211553","ORIG-1","CALCIUM CHLORIDE","MEDEFIL INC","","Approval"
"05/02/2019","ETOPOPHOS PRESERVATIVE FREENDA   #020457","SUPPL-19","ETOPOSIDE PHOSPHATE","CHEPLAPHARM","Labeling","Approval"
"05/02/2019","TOPAMAXNDA   #020505","SUPPL-60","TOPIRAMATE","JANSSEN PHARMS","Labeling","Approval"
"05/02/2019","TOPAMAXNDA   #020844","SUPPL-51","TOPIRAMATE","JANSSEN PHARMS","Labeling","Approval"
"05/02/2019","TOPAMAX SPRINKLENDA   #020844","SUPPL-51","TOPIRAMATE","JANSSEN PHARMS","Labeling","Approval"
"05/02/2019","REBETOLNDA   #020903","SUPPL-55","RIBAVIRIN","MERCK SHARP DOHME","Labeling","Approval"
"05/02/2019","REBETOLNDA   #021546","SUPPL-11","RIBAVIRIN","SCHERING","Labeling","Approval"
"05/02/2019","KUVANNDA   #022181","SUPPL-19","SAPROPTERIN DIHYDROCHLORIDE","BIOMARIN PHARM","Labeling","Approval"
"05/02/2019","PREDNISONEANDA  #088832","SUPPL-35","PREDNISONE","MYLAN PHARMS","Manufacturing (CMC)","Approval"
"05/02/2019","OPDIVOBLA   #125554","SUPPL-73","NIVOLUMAB","BRISTOL MYERS SQUIBB","","Approval"
"05/02/2019","BLISOVI FE 1.5/30ANDA  #201585","SUPPL-5","ETHINYL ESTRADIOL; NORETHINDRONE ACETATE","LUPIN LTD","Labeling","Approval"
"05/02/2019","BLISOVI FE 1.5/30ANDA  #201585","SUPPL-8","ETHINYL ESTRADIOL; NORETHINDRONE ACETATE","LUPIN LTD","Manufacturing (CMC)","Approval"
"05/02/2019","KUVANNDA   #205065","SUPPL-5","SAPROPTERIN DIHYDROCHLORIDE","BIOMARIN PHARM","Labeling","Approval"
"05/02/2019","TIMOLOL MALEATEANDA  #207556","ORIG-1","TIMOLOL MALEATE","ELYSIUM","","Approval"
"05/02/2019","LEVONORGESTRELANDA  #207660","ORIG-1","LEVONORGESTREL","NAARI PTE LTD","","Approval"
"05/02/2019","QTERNNDA   #209091","SUPPL-2","DAPAGLIFLOZIN; SAXAGLIPTIN HYDROCHLORIDE","ASTRAZENECA AB","Efficacy","Approval"
"05/02/2019","QTERNMET XRNDA   #210874","ORIG-1","DAPAGLIFLOZIN; METFORMIN HYDROCHLORIDE; SAXAGLIPTIN HYDROCHLORIDE","ASTRAZENECA AB","Type 4 - New Combination","Approval"
"05/02/2019","TIBSOVONDA   #211192","SUPPL-1","IVOSIDENIB","SERVIER","Efficacy","Approval"
"05/03/2019","FELDENENDA   #018147","SUPPL-48","PIROXICAM","PFIZER","Labeling","Approval"
"05/03/2019","DAYPRONDA   #018841","SUPPL-30","OXAPROZIN","PFIZER","Labeling","Approval"
"05/03/2019","CIPRONDA   #019537","SUPPL-89","CIPROFLOXACIN HYDROCHLORIDE","BAYER HLTHCARE","Labeling","Approval"
"05/03/2019","CIPRONDA   #019847","SUPPL-60","CIPROFLOXACIN","BAYER HLTHCARE","Labeling","Approval"
"05/03/2019","CIPRO IN DEXTROSE 5% IN PLASTIC CONTAINERNDA   #019857","SUPPL-69","CIPROFLOXACIN","BAYER HLTHCARE","Labeling","Approval"
"05/03/2019","LEVAQUINNDA   #020634","SUPPL-72","LEVOFLOXACIN","JANSSEN PHARMS","Labeling","Approval"
"05/03/2019","DAYPRO ALTANDA   #020776","SUPPL-8","OXAPROZIN POTASSIUM","PFIZER","Labeling","Approval"
"05/03/2019","CIPRONDA   #020780","SUPPL-46","CIPROFLOXACIN","BAYER HLTHCARE","Labeling","Approval"
"05/03/2019","CELEBREXNDA   #020998","SUPPL-54","CELECOXIB","UPJOHN","Labeling","Approval"
"05/03/2019","AVELOXNDA   #021085","SUPPL-65","MOXIFLOXACIN HYDROCHLORIDE","BAYER HLTHCARE","Labeling","Approval"
"05/03/2019","FACTIVENDA   #021158","SUPPL-26","GEMIFLOXACIN MESYLATE","LG CHEM LTD","Labeling","Approval"
"05/03/2019","AVELOX IN SODIUM CHLORIDE 0.8% IN PLASTIC CONTAINERNDA   #021277","SUPPL-61","MOXIFLOXACIN HYDROCHLORIDE","BAYER HLTHCARE","Labeling","Approval"
"05/03/2019","CIPRO XRNDA   #021473","SUPPL-40","CIPROFLOXACIN; CIPROFLOXACIN HYDROCHLORIDE","BAYER HLTHCARE","Labeling","Approval"
